"REF_DATE","GEO","DGUID","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1980","Toronto, Ontario","2011S0503535","Rate","257","units ","0","v733349","23","0.5","","","","1"
"1980","Vancouver, British Columbia","2011S0503933","Rate","257","units ","0","v733351","25","0.1","","","","1"
"1980","Victoria, British Columbia","2011S0503935","Rate","257","units ","0","v733352","26","0.1","","","","1"
"1980","Windsor, Ontario","2011S0503559","Rate","257","units ","0","v733353","27","6.1","","","","1"
"1980","Winnipeg, Manitoba","2011S0503602","Rate","257","units ","0","v733354","28","5.1","","","","1"
"1981","Census metropolitan areas","","Rate","257","units ","0","v733334","1","1.2","","","","1"
"1981","Calgary, Alberta","2011S0503825","Rate","257","units ","0","v733335","2","0.2","","","","1"
"1981","Edmonton, Alberta","2011S0503835","Rate","257","units ","0","v733356","4","1.1","","","","1"
"1981","Greater Sudbury, Ontario","2011S0503580","Rate","257","units ","0","v733346","21","0.6","","","","1"
"1981","Halifax, Nova Scotia","2011S0503205","Rate","257","units ","0","v733357","5","0.5","","","","1"
"1981","Hamilton, Ontario","2011S0503537","Rate","257","units ","0","v733358","6","0.7","","","","1"
"1981","Kitchener-Cambridge-Waterloo, Ontario","2011S0503541","Rate","257","units ","0","v733359","7","0.7","","","","1"
"1981","London, Ontario","2011S0503555","Rate","257","units ","0","v733360","8","1.9","","","","1"
"1981","Montréal excluding Saint-Jérôme, Quebec","","Rate","257","units ","0","v733361","29","1.9","","","t","1"
"1981","Oshawa, Ontario","2011S0503532","Rate","257","units ","0","v733362","10","0.0","","","","1"
"1981","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","Rate","257","units ","0","v733336","11","0.9","","","","1"
